,VJ.combi,count.seq,mouseID,analysis_type,filename,path
171,IGHV2-4_IGHJ1*03_60_1,2,m11,all_YFP,IGHV2-4_IGHJ1-03_60_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV2-4_IGHJ1-03_60_1.aln.fasta
392,IGHV1-62_IGHJ3*01_45_1,2,m11,all_YFP,IGHV1-62_IGHJ3-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-62_IGHJ3-01_45_1.aln.fasta
430,IGHV5-9_IGHJ2*01_27_1,2,m11,all_YFP,IGHV5-9_IGHJ2-01_27_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV5-9_IGHJ2-01_27_1.aln.fasta
435,IGHV1-62_IGHJ4*01_42_1,2,m11,all_YFP,IGHV1-62_IGHJ4-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-62_IGHJ4-01_42_1.aln.fasta
363,IGHV1-62_IGHJ4*01_57_1,2,m11,all_YFP,IGHV1-62_IGHJ4-01_57_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-62_IGHJ4-01_57_1.aln.fasta
136,IGHV1-64*01_IGHJ2*01_30_1,3,m11,all_YFP,IGHV1-64-01_IGHJ2-01_30_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-64-01_IGHJ2-01_30_1.aln.fasta
134,IGHV10-1*01_IGHJ2*01_42_1,3,m11,all_YFP,IGHV10-1-01_IGHJ2-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV10-1-01_IGHJ2-01_42_1.aln.fasta
380,IGHV1-82*01_IGHJ4*01_54_2,3,m11,all_YFP,IGHV1-82-01_IGHJ4-01_54_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-82-01_IGHJ4-01_54_2.aln.fasta
398,IGHV5-9*01_IGHJ2*01_36_1,3,m11,all_YFP,IGHV5-9-01_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV5-9-01_IGHJ2-01_36_1.aln.fasta
396,IGHV10-1*01_IGHJ2*01_39_1,3,m11,all_YFP,IGHV10-1-01_IGHJ2-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV10-1-01_IGHJ2-01_39_1.aln.fasta
381,IGHV1-78*01_IGHJ4*01_36_1,3,m11,all_YFP,IGHV1-78-01_IGHJ4-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-78-01_IGHJ4-01_36_1.aln.fasta
382,IGHV1-59*01_IGHJ2*01_33_1,3,m11,all_YFP,IGHV1-59-01_IGHJ2-01_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-59-01_IGHJ2-01_33_1.aln.fasta
128,IGHV1-26*01_IGHJ3*01_30_1,3,m11,all_YFP,IGHV1-26-01_IGHJ3-01_30_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-26-01_IGHJ3-01_30_1.aln.fasta
385,IGHV1-18*01_IGHJ4*01_42_1,3,m11,all_YFP,IGHV1-18-01_IGHJ4-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-18-01_IGHJ4-01_42_1.aln.fasta
386,IGHV5-17*01_IGHJ3*01_39_2,3,m11,all_YFP,IGHV5-17-01_IGHJ3-01_39_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV5-17-01_IGHJ3-01_39_2.aln.fasta
387,IGHV5-17*01_IGHJ3*01_39_3,3,m11,all_YFP,IGHV5-17-01_IGHJ3-01_39_3,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV5-17-01_IGHJ3-01_39_3.aln.fasta
389,IGHV9-3*01_IGHJ2*02_45_1,3,m11,all_YFP,IGHV9-3-01_IGHJ2-02_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV9-3-01_IGHJ2-02_45_1.aln.fasta
394,IGHV1-81*01_IGHJ2*01_48_1,3,m11,all_YFP,IGHV1-81-01_IGHJ2-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-81-01_IGHJ2-01_48_1.aln.fasta
370,IGHV4-1*01_IGHJ4*01_36_1,3,m11,all_YFP,IGHV4-1-01_IGHJ4-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV4-1-01_IGHJ4-01_36_1.aln.fasta
317,IGHV3-6*01_IGHJ3*01_51_1,3,m11,all_YFP,IGHV3-6-01_IGHJ3-01_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV3-6-01_IGHJ3-01_51_1.aln.fasta
325,IGHV1-9*01_IGHJ4*01_36_1,3,m11,all_YFP,IGHV1-9-01_IGHJ4-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-9-01_IGHJ4-01_36_1.aln.fasta
154,IGHV2-4*01_IGHJ1*03_47_1,3,m11,all_YFP,IGHV2-4-01_IGHJ1-03_47_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV2-4-01_IGHJ1-03_47_1.aln.fasta
329,IGHV1-66*01_IGHJ4*01_48_2,3,m11,all_YFP,IGHV1-66-01_IGHJ4-01_48_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-66-01_IGHJ4-01_48_2.aln.fasta
330,IGHV1-66*01_IGHJ4*01_48_3,3,m11,all_YFP,IGHV1-66-01_IGHJ4-01_48_3,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-66-01_IGHJ4-01_48_3.aln.fasta
331,IGHV1-53*01_IGHJ2*01_36_1,3,m11,all_YFP,IGHV1-53-01_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-53-01_IGHJ2-01_36_1.aln.fasta
322,IGHV1-63*01_IGHJ4*01_54_1,3,m11,all_YFP,IGHV1-63-01_IGHJ4-01_54_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-63-01_IGHJ4-01_54_1.aln.fasta
172,IGHV4-1*01_IGHJ4*01_40_1,3,m11,all_YFP,IGHV4-1-01_IGHJ4-01_40_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV4-1-01_IGHJ4-01_40_1.aln.fasta
170,IGHV2-9_IGHJ1*03_54_1,3,m11,all_YFP,IGHV2-9_IGHJ1-03_54_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV2-9_IGHJ1-03_54_1.aln.fasta
169,IGHV1-62_IGHJ2*01_42_1,3,m11,all_YFP,IGHV1-62_IGHJ2-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-62_IGHJ2-01_42_1.aln.fasta
166,IGHV1-53*01_IGHJ2*01_39_6,3,m11,all_YFP,IGHV1-53-01_IGHJ2-01_39_6,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-53-01_IGHJ2-01_39_6.aln.fasta
337,IGHV1-80*01_IGHJ1*03_42_1,3,m11,all_YFP,IGHV1-80-01_IGHJ1-03_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-80-01_IGHJ1-03_42_1.aln.fasta
369,IGHV5-16*01_IGHJ4*01_45_2,3,m11,all_YFP,IGHV5-16-01_IGHJ4-01_45_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV5-16-01_IGHJ4-01_45_2.aln.fasta
146,IGHV7-3*01_IGHJ3*01_36_1,3,m11,all_YFP,IGHV7-3-01_IGHJ3-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV7-3-01_IGHJ3-01_36_1.aln.fasta
338,IGHV6-3*01_IGHJ2*01_21_1,3,m11,all_YFP,IGHV6-3-01_IGHJ2-01_21_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV6-3-01_IGHJ2-01_21_1.aln.fasta
343,IGHV6-6*01_IGHJ3*01_27_2,3,m11,all_YFP,IGHV6-6-01_IGHJ3-01_27_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV6-6-01_IGHJ3-01_27_2.aln.fasta
346,IGHV1-80*01_IGHJ4*01_42_1,3,m11,all_YFP,IGHV1-80-01_IGHJ4-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-80-01_IGHJ4-01_42_1.aln.fasta
348,IGHV2-6*01_IGHJ3*01_39_1,3,m11,all_YFP,IGHV2-6-01_IGHJ3-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV2-6-01_IGHJ3-01_39_1.aln.fasta
351,IGHV2-5*01_IGHJ1*03_48_1,3,m11,all_YFP,IGHV2-5-01_IGHJ1-03_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV2-5-01_IGHJ1-03_48_1.aln.fasta
353,IGHV1-55*01_IGHJ2*01_36_1,3,m11,all_YFP,IGHV1-55-01_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-55-01_IGHJ2-01_36_1.aln.fasta
355,IGHV1-26*01_IGHJ1*03_57_1,3,m11,all_YFP,IGHV1-26-01_IGHJ1-03_57_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-26-01_IGHJ1-03_57_1.aln.fasta
359,IGHV6-3*01_IGHJ3*01_27_1,3,m11,all_YFP,IGHV6-3-01_IGHJ3-01_27_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV6-3-01_IGHJ3-01_27_1.aln.fasta
360,IGHV8-12*01_IGHJ1*03_42_1,3,m11,all_YFP,IGHV8-12-01_IGHJ1-03_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV8-12-01_IGHJ1-03_42_1.aln.fasta
354,IGHV6-3*01_IGHJ2*01_36_1,3,m11,all_YFP,IGHV6-3-01_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV6-3-01_IGHJ2-01_36_1.aln.fasta
114,IGHV5-17*01_IGHJ4*01_33_3,3,m11,all_YFP,IGHV5-17-01_IGHJ4-01_33_3,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV5-17-01_IGHJ4-01_33_3.aln.fasta
424,IGHV1-7*01_IGHJ2*01_36_1,3,m11,all_YFP,IGHV1-7-01_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-7-01_IGHJ2-01_36_1.aln.fasta
425,IGHV5-16*01_IGHJ2*01_42_2,3,m11,all_YFP,IGHV5-16-01_IGHJ2-01_42_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV5-16-01_IGHJ2-01_42_2.aln.fasta
419,IGHV1-82*01_IGHJ3*01_51_1,3,m11,all_YFP,IGHV1-82-01_IGHJ3-01_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-82-01_IGHJ3-01_51_1.aln.fasta
116,IGHV6-6*01_IGHJ3*01_42_2,3,m11,all_YFP,IGHV6-6-01_IGHJ3-01_42_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV6-6-01_IGHJ3-01_42_2.aln.fasta
117,IGHV1-55*01_IGHJ1*03_42_1,3,m11,all_YFP,IGHV1-55-01_IGHJ1-03_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-55-01_IGHJ1-03_42_1.aln.fasta
414,IGHV1-47*01_IGHJ4*01_39_3,3,m11,all_YFP,IGHV1-47-01_IGHJ4-01_39_3,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-47-01_IGHJ4-01_39_3.aln.fasta
417,IGHV6-3*01_IGHJ3*01_30_1,3,m11,all_YFP,IGHV6-3-01_IGHJ3-01_30_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV6-3-01_IGHJ3-01_30_1.aln.fasta
427,IGHV1-18*01_IGHJ4*01_45_1,3,m11,all_YFP,IGHV1-18-01_IGHJ4-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-18-01_IGHJ4-01_45_1.aln.fasta
446,IGHV1-9*01_IGHJ3*01_48_1,3,m11,all_YFP,IGHV1-9-01_IGHJ3-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-9-01_IGHJ3-01_48_1.aln.fasta
412,IGHV1-47*01_IGHJ4*01_39_1,3,m11,all_YFP,IGHV1-47-01_IGHJ4-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-47-01_IGHJ4-01_39_1.aln.fasta
445,IGHV6-6*01_IGHJ4*01_24_1,3,m11,all_YFP,IGHV6-6-01_IGHJ4-01_24_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV6-6-01_IGHJ4-01_24_1.aln.fasta
443,IGHV1-18*01_IGHJ4*01_48_1,3,m11,all_YFP,IGHV1-18-01_IGHJ4-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-18-01_IGHJ4-01_48_1.aln.fasta
105,IGHV14-3*01_IGHJ1*03_51_3,3,m11,all_YFP,IGHV14-3-01_IGHJ1-03_51_3,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV14-3-01_IGHJ1-03_51_3.aln.fasta
428,IGHV1-26*01_IGHJ4*01_42_1,3,m11,all_YFP,IGHV1-26-01_IGHJ4-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-26-01_IGHJ4-01_42_1.aln.fasta
432,IGHV1-54*01_IGHJ4*01_60_2,3,m11,all_YFP,IGHV1-54-01_IGHJ4-01_60_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-54-01_IGHJ4-01_60_2.aln.fasta
436,IGHV1-69*01_IGHJ2*01_48_1,3,m11,all_YFP,IGHV1-69-01_IGHJ2-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-69-01_IGHJ2-01_48_1.aln.fasta
437,IGHV6-3*01_IGHJ2*01_39_1,3,m11,all_YFP,IGHV6-3-01_IGHJ2-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV6-3-01_IGHJ2-01_39_1.aln.fasta
438,IGHV3-6*01_IGHJ4*01_39_2,3,m11,all_YFP,IGHV3-6-01_IGHJ4-01_39_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV3-6-01_IGHJ4-01_39_2.aln.fasta
440,IGHV6-6*01_IGHJ2*01_36_1,3,m11,all_YFP,IGHV6-6-01_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV6-6-01_IGHJ2-01_36_1.aln.fasta
442,IGHV9-3*01_IGHJ4*01_39_1,3,m11,all_YFP,IGHV9-3-01_IGHJ4-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV9-3-01_IGHJ4-01_39_1.aln.fasta
441,IGHV6-6*01_IGHJ2*01_36_2,3,m11,all_YFP,IGHV6-6-01_IGHJ2-01_36_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV6-6-01_IGHJ2-01_36_2.aln.fasta
401,IGHV14-3*01_IGHJ3*01_39_1,3,m11,all_YFP,IGHV14-3-01_IGHJ3-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV14-3-01_IGHJ3-01_39_1.aln.fasta
399,IGHV2-9_IGHJ4*01_36_1,3,m11,all_YFP,IGHV2-9_IGHJ4-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV2-9_IGHJ4-01_36_1.aln.fasta
