,VJ.combi,count.seq,mouseID,analysis_type,filename,path
388,IGHV1-62_IGHJ2*01_39_1,2,m14,neg_YFP,IGHV1-62_IGHJ2-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-62_IGHJ2-01_39_1.aln.fasta
381,IGHV5-9_IGHJ3*01_30_1,2,m14,neg_YFP,IGHV5-9_IGHJ3-01_30_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV5-9_IGHJ3-01_30_1.aln.fasta
182,IGHV1-62_IGHJ1*03_48_1,2,m14,neg_YFP,IGHV1-62_IGHJ1-03_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-62_IGHJ1-03_48_1.aln.fasta
170,IGHV1-62_IGHJ4*01_57_1,2,m14,neg_YFP,IGHV1-62_IGHJ4-01_57_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-62_IGHJ4-01_57_1.aln.fasta
398,IGHV1-72*01_IGHJ3*01_69_1,3,m14,neg_YFP,IGHV1-72-01_IGHJ3-01_69_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-72-01_IGHJ3-01_69_1.aln.fasta
397,IGHV1-26*01_IGHJ1*03_35_1,3,m14,neg_YFP,IGHV1-26-01_IGHJ1-03_35_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-26-01_IGHJ1-03_35_1.aln.fasta
395,IGHV1-82*01_IGHJ4*01_60_1,3,m14,neg_YFP,IGHV1-82-01_IGHJ4-01_60_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-82-01_IGHJ4-01_60_1.aln.fasta
394,IGHV1-50*01_IGHJ1*03_54_1,3,m14,neg_YFP,IGHV1-50-01_IGHJ1-03_54_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-50-01_IGHJ1-03_54_1.aln.fasta
393,IGHV1-22*01_IGHJ4*01_33_1,3,m14,neg_YFP,IGHV1-22-01_IGHJ4-01_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-22-01_IGHJ4-01_33_1.aln.fasta
391,IGHV1-81*01_IGHJ1*01_54_1,3,m14,neg_YFP,IGHV1-81-01_IGHJ1-01_54_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-81-01_IGHJ1-01_54_1.aln.fasta
390,IGHV5-4*01_IGHJ1*03_48_1,3,m14,neg_YFP,IGHV5-4-01_IGHJ1-03_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV5-4-01_IGHJ1-03_48_1.aln.fasta
389,IGHV1-81*01_IGHJ2*01_45_1,3,m14,neg_YFP,IGHV1-81-01_IGHJ2-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-81-01_IGHJ2-01_45_1.aln.fasta
387,IGHV9-4*01_IGHJ3*01_30_1,3,m14,neg_YFP,IGHV9-4-01_IGHJ3-01_30_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV9-4-01_IGHJ3-01_30_1.aln.fasta
384,IGHV1-7*01_IGHJ4*01_48_1,3,m14,neg_YFP,IGHV1-7-01_IGHJ4-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-7-01_IGHJ4-01_48_1.aln.fasta
383,IGHV3-1*01_IGHJ1*03_42_1,3,m14,neg_YFP,IGHV3-1-01_IGHJ1-03_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV3-1-01_IGHJ1-03_42_1.aln.fasta
382,IGHV1-4*01_IGHJ1*03_51_1,3,m14,neg_YFP,IGHV1-4-01_IGHJ1-03_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-4-01_IGHJ1-03_51_1.aln.fasta
380,IGHV1-55*01_IGHJ1*03_39_1,3,m14,neg_YFP,IGHV1-55-01_IGHJ1-03_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-55-01_IGHJ1-03_39_1.aln.fasta
379,IGHV1-26*01_IGHJ1*03_39_1,3,m14,neg_YFP,IGHV1-26-01_IGHJ1-03_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-26-01_IGHJ1-03_39_1.aln.fasta
378,IGHV1-82*01_IGHJ2*01_39_1,3,m14,neg_YFP,IGHV1-82-01_IGHJ2-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-82-01_IGHJ2-01_39_1.aln.fasta
377,IGHV3-8*01_IGHJ4*01_48_1,3,m14,neg_YFP,IGHV3-8-01_IGHJ4-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV3-8-01_IGHJ4-01_48_1.aln.fasta
392,IGHV1-53*01_IGHJ4*01_48_1,3,m14,neg_YFP,IGHV1-53-01_IGHJ4-01_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-53-01_IGHJ4-01_48_1.aln.fasta
376,IGHV1-22*01_IGHJ3*01_42_1,3,m14,neg_YFP,IGHV1-22-01_IGHJ3-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-22-01_IGHJ3-01_42_1.aln.fasta
375,IGHV1-75*01_IGHJ1*03_57_2,3,m14,neg_YFP,IGHV1-75-01_IGHJ1-03_57_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-75-01_IGHJ1-03_57_2.aln.fasta
373,IGHV8-12*01_IGHJ4*01_39_1,3,m14,neg_YFP,IGHV8-12-01_IGHJ4-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV8-12-01_IGHJ4-01_39_1.aln.fasta
372,IGHV1-19*01_IGHJ2*02_39_1,3,m14,neg_YFP,IGHV1-19-01_IGHJ2-02_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-19-01_IGHJ2-02_39_1.aln.fasta
