,VJ.combi,count.seq,mouseID,analysis_type,filename,path
35,IGHV7-3*01_IGHJ4*01_51_1,3,m39,pos_YFP,IGHV7-3-01_IGHJ4-01_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/pos_YFP_MIDs/m39_pos_YFP_IGHV7-3-01_IGHJ4-01_51_1.aln.fasta
32,IGHV1-34*01_IGHJ4*01_60_1,3,m39,pos_YFP,IGHV1-34-01_IGHJ4-01_60_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/pos_YFP_MIDs/m39_pos_YFP_IGHV1-34-01_IGHJ4-01_60_1.aln.fasta
42,IGHV1-18*01_IGHJ1*03_42_1,3,m39,pos_YFP,IGHV1-18-01_IGHJ1-03_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/pos_YFP_MIDs/m39_pos_YFP_IGHV1-18-01_IGHJ1-03_42_1.aln.fasta
44,IGHV1-64*01_IGHJ3*01_33_1,3,m39,pos_YFP,IGHV1-64-01_IGHJ3-01_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/pos_YFP_MIDs/m39_pos_YFP_IGHV1-64-01_IGHJ3-01_33_1.aln.fasta
39,IGHV1-74*03_IGHJ2*01_18_1,3,m39,pos_YFP,IGHV1-74-03_IGHJ2-01_18_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/pos_YFP_MIDs/m39_pos_YFP_IGHV1-74-03_IGHJ2-01_18_1.aln.fasta
40,IGHV11-2*01_IGHJ4*01_44_1,3,m39,pos_YFP,IGHV11-2-01_IGHJ4-01_44_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/pos_YFP_MIDs/m39_pos_YFP_IGHV11-2-01_IGHJ4-01_44_1.aln.fasta
43,IGHV1-12*01_IGHJ2*01_27_1,3,m39,pos_YFP,IGHV1-12-01_IGHJ2-01_27_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/pos_YFP_MIDs/m39_pos_YFP_IGHV1-12-01_IGHJ2-01_27_1.aln.fasta
28,IGHV9-3*01_IGHJ1*03_45_1,3,m39,pos_YFP,IGHV9-3-01_IGHJ1-03_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/pos_YFP_MIDs/m39_pos_YFP_IGHV9-3-01_IGHJ1-03_45_1.aln.fasta
21,IGHV1-7*01_IGHJ3*01_42_1,3,m39,pos_YFP,IGHV1-7-01_IGHJ3-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/pos_YFP_MIDs/m39_pos_YFP_IGHV1-7-01_IGHJ3-01_42_1.aln.fasta
20,IGHV2-3*01_IGHJ2*01_45_1,3,m39,pos_YFP,IGHV2-3-01_IGHJ2-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/pos_YFP_MIDs/m39_pos_YFP_IGHV2-3-01_IGHJ2-01_45_1.aln.fasta
15,IGHV1-26*01_IGHJ2*01_45_2,3,m39,pos_YFP,IGHV1-26-01_IGHJ2-01_45_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/pos_YFP_MIDs/m39_pos_YFP_IGHV1-26-01_IGHJ2-01_45_2.aln.fasta
11,IGHV5-17*01_IGHJ2*01_42_1,3,m39,pos_YFP,IGHV5-17-01_IGHJ2-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/pos_YFP_MIDs/m39_pos_YFP_IGHV5-17-01_IGHJ2-01_42_1.aln.fasta
30,IGHV3-5*01_IGHJ1*03_42_1,3,m39,pos_YFP,IGHV3-5-01_IGHJ1-03_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/pos_YFP_MIDs/m39_pos_YFP_IGHV3-5-01_IGHJ1-03_42_1.aln.fasta
14,IGHV6-3*01_IGHJ3*01_36_1,4,m39,pos_YFP,IGHV6-3-01_IGHJ3-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/pos_YFP_MIDs/m39_pos_YFP_IGHV6-3-01_IGHJ3-01_36_1.aln.fasta
10,IGHV6-3*01_IGHJ3*01_30_1,4,m39,pos_YFP,IGHV6-3-01_IGHJ3-01_30_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/pos_YFP_MIDs/m39_pos_YFP_IGHV6-3-01_IGHJ3-01_30_1.aln.fasta
23,IGHV1-31*01_IGHJ2*01_45_1,4,m39,pos_YFP,IGHV1-31-01_IGHJ2-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/pos_YFP_MIDs/m39_pos_YFP_IGHV1-31-01_IGHJ2-01_45_1.aln.fasta
