GL,
seq1,8:8:8:8:8:8:8:8
seq2,6:6:6:6:6:6
seq3,3:3:3
seq4,2:2
seq5,1:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46:46
seq6,34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34:34
seq7,24:24:24:24:24:24:24:24:24:24:24:24:24:24:24:24:24:24:24:24:24:24:24:24
seq8,20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20
seq9,6:6:6:6:6:6:2:2
seq10,1
seq11,37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:37:1
