,VJ.combi,count.seq,mouseID,analysis_type,filename,path
322,IGHV2-9_IGHJ4*01_36_1,2,m13,all_YFP,IGHV2-9_IGHJ4-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV2-9_IGHJ4-01_36_1.aln.fasta
150,IGHV1-62_IGHJ3*01_39_2,2,m31,biopsy_YFP,IGHV1-62_IGHJ3-01_39_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m31/biopsy_YFP_MIDs/m31_biopsy_YFP_IGHV1-62_IGHJ3-01_39_2.aln.fasta
323,IGHV2-9_IGHJ4*01_36_2,2,m13,all_YFP,IGHV2-9_IGHJ4-01_36_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV2-9_IGHJ4-01_36_2.aln.fasta
178,IGHV2-9_IGHJ2*01_39_2,2,m39,all_YFP,IGHV2-9_IGHJ2-01_39_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/all_YFP_MIDs/m39_all_YFP_IGHV2-9_IGHJ2-01_39_2.aln.fasta
177,IGHV2-9_IGHJ2*01_39_1,2,m39,all_YFP,IGHV2-9_IGHJ2-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/all_YFP_MIDs/m39_all_YFP_IGHV2-9_IGHJ2-01_39_1.aln.fasta
565,IGHV1S108*01-NA_IGHJ2*01_18_1,2,m53,all_YFP,IGHV1S108-01-NA_IGHJ2-01_18_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m53/all_YFP_MIDs/m53_all_YFP_IGHV1S108-01-NA_IGHJ2-01_18_1.aln.fasta
449,IGHV1-62_IGHJ1*03_42_1,2,m37,neg_YFP,IGHV1-62_IGHJ1-03_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/neg_YFP_MIDs/m37_neg_YFP_IGHV1-62_IGHJ1-03_42_1.aln.fasta
171,IGHV2-4_IGHJ1*03_60_1,2,m11,all_YFP,IGHV2-4_IGHJ1-03_60_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV2-4_IGHJ1-03_60_1.aln.fasta
321,IGHV1-62_IGHJ3*01_45_1,2,m11,neg_YFP,IGHV1-62_IGHJ3-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/neg_YFP_MIDs/m11_neg_YFP_IGHV1-62_IGHJ3-01_45_1.aln.fasta
282,IGHV1-62_IGHJ3*01_51_1,2,m39,neg_YFP,IGHV1-62_IGHJ3-01_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/neg_YFP_MIDs/m39_neg_YFP_IGHV1-62_IGHJ3-01_51_1.aln.fasta
388,IGHV1-62_IGHJ2*01_39_1,2,m14,neg_YFP,IGHV1-62_IGHJ2-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-62_IGHJ2-01_39_1.aln.fasta
321,IGHV1S108*01-NA_IGHJ3*01_18_1,2,m13,all_YFP,IGHV1S108-01-NA_IGHJ3-01_18_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV1S108-01-NA_IGHJ3-01_18_1.aln.fasta
175,IGHV1-62_IGHJ4*01_57_1,2,m31,all_YFP,IGHV1-62_IGHJ4-01_57_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m31/all_YFP_MIDs/m31_all_YFP_IGHV1-62_IGHJ4-01_57_1.aln.fasta
138,IGHV2-9_IGHJ3*01_42_1,2,m42,all_YFP,IGHV2-9_IGHJ3-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m42/all_YFP_MIDs/m42_all_YFP_IGHV2-9_IGHJ3-01_42_1.aln.fasta
185,IGHV1-62_IGHJ1*03_48_1,2,m14,all_YFP,IGHV1-62_IGHJ1-03_48_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/all_YFP_MIDs/m14_all_YFP_IGHV1-62_IGHJ1-03_48_1.aln.fasta
381,IGHV5-9_IGHJ3*01_30_1,2,m14,neg_YFP,IGHV5-9_IGHJ3-01_30_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV5-9_IGHJ3-01_30_1.aln.fasta
126,IGHV1-62_IGHJ2*01_36_1,2,m39,biopsy_YFP,IGHV1-62_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/biopsy_YFP_MIDs/m39_biopsy_YFP_IGHV1-62_IGHJ2-01_36_1.aln.fasta
111,IGHV1-62_IGHJ2*01_33_2,2,m53,all_YFP,IGHV1-62_IGHJ2-01_33_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m53/all_YFP_MIDs/m53_all_YFP_IGHV1-62_IGHJ2-01_33_2.aln.fasta
357,IGHV2-9_IGHJ1*03_42_1,2,m32,biopsy_YFP,IGHV2-9_IGHJ1-03_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/biopsy_YFP_MIDs/m32_biopsy_YFP_IGHV2-9_IGHJ1-03_42_1.aln.fasta
464,IGHV2-9_IGHJ2*01_39_1,2,m30,neg_YFP,IGHV2-9_IGHJ2-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/neg_YFP_MIDs/m30_neg_YFP_IGHV2-9_IGHJ2-01_39_1.aln.fasta
324,IGHV2-9_IGHJ2*01_42_1,2,m39,neg_YFP,IGHV2-9_IGHJ2-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/neg_YFP_MIDs/m39_neg_YFP_IGHV2-9_IGHJ2-01_42_1.aln.fasta
204,IGHV1-62_IGHJ3*01_48_2,2,m32,all_YFP,IGHV1-62_IGHJ3-01_48_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/all_YFP_MIDs/m32_all_YFP_IGHV1-62_IGHJ3-01_48_2.aln.fasta
392,IGHV1-62_IGHJ3*01_45_1,2,m11,all_YFP,IGHV1-62_IGHJ3-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV1-62_IGHJ3-01_45_1.aln.fasta
173,IGHV1-62_IGHJ4*01_57_1,2,m14,all_YFP,IGHV1-62_IGHJ4-01_57_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/all_YFP_MIDs/m14_all_YFP_IGHV1-62_IGHJ4-01_57_1.aln.fasta
331,IGHV2-9_IGHJ1*03_54_1,2,m11,neg_YFP,IGHV2-9_IGHJ1-03_54_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/neg_YFP_MIDs/m11_neg_YFP_IGHV2-9_IGHJ1-03_54_1.aln.fasta
317,IGHV2-9_IGHJ2*01_36_1,2,m13,all_YFP,IGHV2-9_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m13/all_YFP_MIDs/m13_all_YFP_IGHV2-9_IGHJ2-01_36_1.aln.fasta
430,IGHV5-9_IGHJ2*01_27_1,2,m11,all_YFP,IGHV5-9_IGHJ2-01_27_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/all_YFP_MIDs/m11_all_YFP_IGHV5-9_IGHJ2-01_27_1.aln.fasta
181,IGHV2-9_IGHJ1*03_36_1,2,m39,neg_YFP,IGHV2-9_IGHJ1-03_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/neg_YFP_MIDs/m39_neg_YFP_IGHV2-9_IGHJ1-03_36_1.aln.fasta
178,IGHV2-9_IGHJ4*01_18_1,2,m12,all_YFP,IGHV2-9_IGHJ4-01_18_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m12/all_YFP_MIDs/m12_all_YFP_IGHV2-9_IGHJ4-01_18_1.aln.fasta
181,IGHV2-9_IGHJ4*01_36_2,2,m37,all_YFP,IGHV2-9_IGHJ4-01_36_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m37/all_YFP_MIDs/m37_all_YFP_IGHV2-9_IGHJ4-01_36_2.aln.fasta
80,IGHV5-9_IGHJ4*01_51_1,2,m11,pos_YFP,IGHV5-9_IGHJ4-01_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/pos_YFP_MIDs/m11_pos_YFP_IGHV5-9_IGHJ4-01_51_1.aln.fasta
262,IGHV1-62_IGHJ2*01_45_1,2,m31,neg_YFP,IGHV1-62_IGHJ2-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m31/neg_YFP_MIDs/m31_neg_YFP_IGHV1-62_IGHJ2-01_45_1.aln.fasta
371,IGHV1-62_IGHJ4*01_42_1,2,m11,neg_YFP,IGHV1-62_IGHJ4-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/neg_YFP_MIDs/m11_neg_YFP_IGHV1-62_IGHJ4-01_42_1.aln.fasta
192,IGHV2-9_IGHJ3*01_45_2,2,m39,neg_YFP,IGHV2-9_IGHJ3-01_45_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m39/neg_YFP_MIDs/m39_neg_YFP_IGHV2-9_IGHJ3-01_45_2.aln.fasta
563,IGHV2-9_IGHJ2*01_39_1,2,m30,all_YFP,IGHV2-9_IGHJ2-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/all_YFP_MIDs/m30_all_YFP_IGHV2-9_IGHJ2-01_39_1.aln.fasta
365,IGHV5-9_IGHJ2*01_27_1,2,m11,neg_YFP,IGHV5-9_IGHJ2-01_27_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/neg_YFP_MIDs/m11_neg_YFP_IGHV5-9_IGHJ2-01_27_1.aln.fasta
84,IGHV2-9_IGHJ3*01_42_1,2,m42,pos_YFP,IGHV2-9_IGHJ3-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m42/pos_YFP_MIDs/m42_pos_YFP_IGHV2-9_IGHJ3-01_42_1.aln.fasta
606,IGHV2-9_IGHJ1*03_45_1,2,m53,all_YFP,IGHV2-9_IGHJ1-03_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m53/all_YFP_MIDs/m53_all_YFP_IGHV2-9_IGHJ1-03_45_1.aln.fasta
388,IGHV1-62_IGHJ3*01_51_1,2,m30,neg_YFP,IGHV1-62_IGHJ3-01_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m30/neg_YFP_MIDs/m30_neg_YFP_IGHV1-62_IGHJ3-01_51_1.aln.fasta
373,IGHV5-9_IGHJ4*01_51_1,2,m32,all_YFP,IGHV5-9_IGHJ4-01_51_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m32/all_YFP_MIDs/m32_all_YFP_IGHV5-9_IGHJ4-01_51_1.aln.fasta
