,VJ.combi,count.seq,mouseID,analysis_type,filename,path
90,IGHV5-9_IGHJ4*01_18_1,3,m11,biopsy_YFP,IGHV5-9_IGHJ4-01_18_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/biopsy_YFP_MIDs/m11_biopsy_YFP_IGHV5-9_IGHJ4-01_18_1.aln.fasta
89,IGHV5-4*01_IGHJ3*01_41_1,3,m11,biopsy_YFP,IGHV5-4-01_IGHJ3-01_41_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/biopsy_YFP_MIDs/m11_biopsy_YFP_IGHV5-4-01_IGHJ3-01_41_1.aln.fasta
88,IGHV2-2*01_IGHJ3*01_44_1,3,m11,biopsy_YFP,IGHV2-2-01_IGHJ3-01_44_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/biopsy_YFP_MIDs/m11_biopsy_YFP_IGHV2-2-01_IGHJ3-01_44_1.aln.fasta
86,IGHV1-80*01_IGHJ4*01_30_1,3,m11,biopsy_YFP,IGHV1-80-01_IGHJ4-01_30_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/biopsy_YFP_MIDs/m11_biopsy_YFP_IGHV1-80-01_IGHJ4-01_30_1.aln.fasta
85,IGHV1-72*01_IGHJ2*01_42_2,3,m11,biopsy_YFP,IGHV1-72-01_IGHJ2-01_42_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/biopsy_YFP_MIDs/m11_biopsy_YFP_IGHV1-72-01_IGHJ2-01_42_2.aln.fasta
83,IGHV1-66*01_IGHJ2*01_33_1,3,m11,biopsy_YFP,IGHV1-66-01_IGHJ2-01_33_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/biopsy_YFP_MIDs/m11_biopsy_YFP_IGHV1-66-01_IGHJ2-01_33_1.aln.fasta
82,IGHV1-54*01_IGHJ3*01_45_1,3,m11,biopsy_YFP,IGHV1-54-01_IGHJ3-01_45_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/biopsy_YFP_MIDs/m11_biopsy_YFP_IGHV1-54-01_IGHJ3-01_45_1.aln.fasta
80,IGHV1-66*01_IGHJ2*01_42_1,3,m11,biopsy_YFP,IGHV1-66-01_IGHJ2-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/biopsy_YFP_MIDs/m11_biopsy_YFP_IGHV1-66-01_IGHJ2-01_42_1.aln.fasta
79,IGHV1-18*01_IGHJ2*01_57_1,3,m11,biopsy_YFP,IGHV1-18-01_IGHJ2-01_57_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/biopsy_YFP_MIDs/m11_biopsy_YFP_IGHV1-18-01_IGHJ2-01_57_1.aln.fasta
78,IGHV1-61*01_IGHJ3*01_42_1,3,m11,biopsy_YFP,IGHV1-61-01_IGHJ3-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m11/biopsy_YFP_MIDs/m11_biopsy_YFP_IGHV1-61-01_IGHJ3-01_42_1.aln.fasta
